company_name,address,street,business_ownership,business_type,naics_description,sic_description,sales,rent_expenses,sq_footage,latitude,longitude
SERVPRO Of North Washington,1331 5th Ave,5th Avenue,Branch of Public Company,Home Remodel & Repair,Residential Remodelers,Water Damage Restoration-Residential,6196000,50k-100k,10000-19999,40.515479,-80.158218
Anthony J Sanvito Funeral Home,1316 4th Ave,4th Avenue,Private,Funeral Homes And Funeral Services,Funeral Homes And Funeral Services,Funeral Directors,546000,10k-25k,1-1499,40.516062,-80.158355
Autumn Lane Assisted Living,1325 5th Ave,5th Avenue,Private,Professional Service & Consulting,Assisted Living Facilities For The Elderly,Residential Care Homes,0,50k-100k,20000-39999,40.515564,-80.158465
Borough Of Coraopolis,1301 4th Ave # 100,4th Avenue,Private,Government Office,Legislative Bodies,Government Offices-City/Village & Twp,0,,10000-19999,40.516663,-80.158607
Coraopolis Boro Secretary,1301 4th Ave # 100,4th Avenue,Private,Government Office,Legislative Bodies,Government Offices-City/Village & Twp,0,,40000-99999,40.516663,-80.158607
Civil Design Solutions Inc,1331 State Ave,State Avenue,Private,Professional Service & Consulting,Engineering Services,Engineers-Civil,1751000,50k-100k,5000-9999,40.514849,-80.158764
St Joseph Parish,1304 4th Ave,4th Avenue,Private,Religious Organization,Religious Organizations,Religious Organizations,0,,1-1499,40.516508,-80.158783
St Joseph Roman Catholic Chr,1304 4th Ave,4th Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,1500-2499,40.516508,-80.158783
Law Offices Of Max Feldman,1322 5th Ave,5th Avenue,Private,Professional Service & Consulting,Offices Of Lawyers,Attorneys,738000,50k-100k,1500-2499,40.515212,-80.158915
Pa Family Law Help,1322 5th Ave,5th Avenue,Private,Professional Service & Consulting,Offices Of Lawyers,Attorneys,369000,,,40.515212,-80.158915
Master Machine,1220 2nd Ave,2nd Avenue,Private,Automotive,Machine Shops,Machine Shops (Mfrs),342000,Less than 10k,2500-4999,40.517872,-80.159065
Pizzeria,1225 4th Ave,4th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Pizza,254000,Less than 10k,1500-2499,40.517075,-80.159365
Ohio Valley Health Ctr,1308 5th Ave,5th Avenue,Private,Healthcare,Offices Of Physicians (Except Mental Health Specia,Physicians & Surgeons,674000,25k-50k,1500-2499,40.515395,-80.159381
Fsi North America Inc,1230 4th Ave,4th Avenue,Private,Non-profit,Other Social Advocacy Organizations,Non-Profit Organizations,0,10k-25k,2500-4999,40.5165,-80.159485
Greystone Theological Inst,1305 State Ave,State Avenue,Private,Unclassified,Unclassified Establishments,Nonclassified Establishments,0,,1500-2499,40.515311,-80.159653
Immanuel Orthodox Presbyterian,1305 State Ave,State Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,1500-2499,40.515311,-80.159653
Essex Salon & Spa,1228 4th Ave,4th Avenue,Private,Salons & Holistic Wellness Services,Beauty Salons,Beauty Salons,134000,Less than 10k,1-1499,40.516591,-80.159746
Zion Evangelical Lutheran Chr,1305 State Ave,State Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,1500-2499,40.515139,-80.159977
